Epithet;Date of registration;Genus;Originator Name;Registrant Name;Pollen;Seed;Synonym Flag
Loretto;01/01/1930;Paphiopedilum;S.Low;S.Low;James Obrien;Gaston Bultel;This is not a synonym
Lorgang;01/01/1979;Paphiopedilum;J.Hanes;L.Jordan;Lockinge;John Hanes;This is not a synonym
Loris;01/01/1915;Paphiopedilum;Hanbury;Hanbury;Leander;Actaeus;This is not a synonym
Lorna Doone;01/01/1962;Paphiopedilum;Wyld Court;Wyld Court;Denehurst;Luna;This is not a synonym
Lorna Hacket;01/01/1945;Paphiopedilum;Heaton;Heaton;Regent;Mercedes;This is not a synonym
Lorna Rathbone;23/10/1991;Paphiopedilum;O/U;M.Rathbone;Brunella;Floramond;This is not a synonym
Lorrandra;01/01/1982;Paphiopedilum;P.Crutchley;P.Crutchley;Fieldfare;Paeony;This is not a synonym
Lost Horizon;16/08/2004;Paphiopedilum;Marriott Orchids;Marriott Orchids;White Legacy;Wend Valley;This is not a synonym
Lost Legend;08/06/2005;Paphiopedilum;Orchids Royale;Orchids Royale;Marion Fischer;Golden Acres;This is not a synonym
Lost Park;01/01/1985;Paphiopedilum;C.W.Hayward;C.W.Hayward;Sun Crystal;Frostlight;This is not a synonym
Lost Sailor;20/03/2007;Paphiopedilum;B.Fraser;Matsui Nurs.;Sonia Pernar;Leopard Spots;This is not a synonym
Lost Wood;01/01/1982;Paphiopedilum;O/U;J.L.Marks;Milmoore;Woodruff;This is not a synonym
Lostock Green;01/01/1951;Paphiopedilum;Stirling;Stirling;Atra;Ann Coventry;This is not a synonym
Lothario;01/01/1930;Paphiopedilum;King;King;Pyramus;Memoria F. M. Ogilvie;This is not a synonym
Lothlorien;11/01/2012;Paphiopedilum;Y.Igarashi;Y.Igarashi;Donna Hanes;Frosty Clover;This is not a synonym
Lotis;01/01/1927;Paphiopedilum;Keeling;Keeling;The Baron;Dreadnought;This is not a synonym
Lotos;01/01/1916;Paphiopedilum;Hanbury;Hanbury;Troilus;Nitens;This is not a synonym
Lotta;01/01/1940;Paphiopedilum;Black ;Black ;Red Gauntlet;Loudwater;This is not a synonym
Lottie Carlile;01/01/1938;Paphiopedilum;Miss Wrigley;Miss Wrigley;Major Hanbury Carlile;Charlotte Dillon;This is not a synonym
Lottie Potter Capen;19/05/1994;Paphiopedilum;O/U;R.M.Capen;insigne;Aigrette;This is not a synonym
Lotus Ruby;20/08/1991;Paphiopedilum;Ratcliffe;Ratcliffe;Super Trooper;Startan Ruby;This is not a synonym
Lou Gehrig;23/08/1996;Paphiopedilum;A.Mochizuki;A.Mochizuki;Gloriosum (1916);Goultenianum;This is not a synonym
Lou Hegedus;04/02/2003;Paphiopedilum;J.L.Fischer;Orchids Ltd [MN];rothschildianum;Colorado;This is not a synonym
Lou Sasso;01/01/1974;Paphiopedilum;L.Sasso;L.Sasso;Gwenpur;Brailes;This is not a synonym
Louanne Banks;03/09/2002;Paphiopedilum;G.S.Banks;G.S.Banks;Northmead;Garston;This is not a synonym
Loudwater;01/01/1935;Paphiopedilum;Black ;Black ;John Henry;Cardinal Mercier;This is not a synonym
Louis Berdoyes;14/01/2000;Paphiopedilum;Jard.Luxembourg;Jard.Luxembourg;sukhakulii;javanicum;This is not a synonym
Louis Deveugle;14/09/2011;Paphiopedilum;Marcel Lecoufle;Marcel Lecoufle;venustum;Bruno;This is not a synonym
Louis Sander (1903);01/01/1903;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Nitens;Calypso;This is  a synonym
Louis Sander (1936);01/01/1936;Paphiopedilum;de Hemptinne;de Hemptinne;Leander;Germaine Opoix (1899);This is not a synonym
Louis V. Dorp;01/01/1956;Paphiopedilum;L.Dorp;Lines;Governor Robert Gore;Leah;This is not a synonym
Louisae;01/01/1895;Paphiopedilum;Le Doux;Le Doux;Leeanum;Ashburtoniae;This is  a synonym
Louise;01/01/1907;Paphiopedilum;H.Scott;H.Scott;mastersianum;bellatulum;This is  a synonym
Louise Bardou Pineau;24/07/1996;Paphiopedilum;O/U;Y.Aubry;Stoke Poges;Lady Eridge;This is not a synonym
Louise Davies;01/01/1982;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Robin I. Hall;Redstart;This is not a synonym
Louise Henry Weltz;02/08/1994;Paphiopedilum;S.R.Weltz;S.R.Weltz;Skip Bartlett;Memoria Samuel Weltz;This is not a synonym
Louise Honi;01/01/1981;Paphiopedilum;Holm Nielsen;Holm Nielsen;Rollright;Clementine H. Churchill;This is not a synonym
Louise Jernigan;27/10/1999;Paphiopedilum;F.Jernigan;F.Jernigan;Wellesleyanum;rothschildianum;This is not a synonym
Louisiae;01/01/1895;Paphiopedilum;Le Doux;Le Doux;Leeanum;Ashburtoniae;This is not a synonym
Louryanum;01/01/1891;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Vernixium;Ashburtoniae;This is not a synonym
Louryi;01/01/1895;Paphiopedilum;O/U;O/U;insigne;Harrisianum;This is  a synonym
Louvain;01/01/1916;Paphiopedilum;J.Crombleholme;J.Crombleholme;Lathamianum;Aureum;This is not a synonym
Love Call;08/06/2010;Paphiopedilum;Tokyo O.N.;Tokyo O.N.;Carmen Coll;Stone Lovely;This is not a synonym
Love Letter;01/01/1988;Paphiopedilum;J.Hanes;J.Hanes;Susan Tucker;Henrietta Hanes;This is not a synonym
Love Maruyama;16/02/2000;Paphiopedilum;Masaharu Suzuki;Masaharu Suzuki;Moreton Bay;Divisadero;This is not a synonym
Love Maud;04/01/1993;Paphiopedilum;A.Mochizuki;A.Mochizuki;Maudiae;Love Song;This is not a synonym
Love Potion;01/01/1982;Paphiopedilum;J.Headrick;J.Headrick;Frosty Jones;Incagold;This is not a synonym
Love Song;01/01/1989;Paphiopedilum;A.Mochizuki;A.Mochizuki;sukhakulii;acmodontum;This is not a synonym
Love Squall;15/05/2009;Paphiopedilum;M.Nunoura;M.Nunoura;Moriyama Spots;bellatulum;This is not a synonym
Love Yokohama;16/02/2000;Paphiopedilum;Masaharu Suzuki;Masaharu Suzuki;Leo Organo;Transvaal;This is not a synonym
Lovecall;01/01/1980;Paphiopedilum;G.Boyd;G.Boyd;Winston Churchill;Lankerral;This is not a synonym
Loveday;01/01/1972;Paphiopedilum;Ratcliffe;Ratcliffe;Floramond;Happy Landing;This is not a synonym
Lovelace;01/01/1956;Paphiopedilum;Rivermont;Rivermont;Selma;Juliet;This is not a synonym
Loveland;24/08/2007;Paphiopedilum;F.Sugiyama;Yamato-Noen;Clementine H. Churchill;Memoria Jody Headrick;This is not a synonym
Lovelight;24/01/1995;Paphiopedilum;Ratcliffe;Ratcliffe;primulinum;Albion;This is not a synonym
Lovell;01/01/1937;Paphiopedilum;Black ;Black ;Olive;Gold Mohur;This is not a synonym
Lovely Acres;17/11/1995;Paphiopedilum;Mukoyama;Mukoyama;Golden Acres;Lovely Yard;This is not a synonym
Lovely Asami Okamoto;06/03/2006;Paphiopedilum;M.Minoda;M.Minoda;malipoense;Jack Tonkin;This is not a synonym
Lovely Autumn;11/12/1998;Paphiopedilum;Mukoyama;Mukoyama;Lovely Present;Maudiae;This is not a synonym
Lovely Branch;08/05/2001;Paphiopedilum;Mukoyama;Mukoyama;Shower Meadow;Kay Branch;This is not a synonym
Lovely Enzan;20/02/2003;Paphiopedilum;Mukoyama;Mukoyama;Lovely Land;Enzan White Night;This is not a synonym
Lovely Green;08/01/2002;Paphiopedilum;Mukoyama;Mukoyama;Jolly Green Gem;Lovely Yard;This is not a synonym
Lovely Inuyama;09/03/2004;Paphiopedilum;S.Murakami;S.Murakami;Valwin;Robin I. Hall;This is not a synonym
Lovely Jubly;30/08/2002;Paphiopedilum;R.Trudgeon;S.Condon;Freckles;Fieldfare;This is not a synonym
Lovely King;30/12/2008;Paphiopedilum;Mukoyama;Mukoyama;Lovely Today;Kings Branch;This is not a synonym
Lovely Lady;01/01/1960;Paphiopedilum;Stirling;Stirling;Clara Gee;Vestalia;This is not a synonym
Lovely Land;24/04/1991;Paphiopedilum;Mukoyama;Mukoyama;Bethurst;Golden Acres;This is not a synonym
Lovely Landing;17/11/1995;Paphiopedilum;Mukoyama;Mukoyama;Lovely Land;Golden Acres;This is not a synonym
Lovely Liza;08/05/2001;Paphiopedilum;Mukoyama;Mukoyama;Liz Greenlees;Liza Olivelees;This is not a synonym
